id,name,psc,latitude,longitude,location,country
5024,Svojšice,28107,50.003239,15.043205,SRID=4326;POINT (50.003239 15.043205),CZ
5025,Svojšice,26272,49.572827,14.042977,SRID=4326;POINT (49.572827 14.042977),CZ
5026,Svojšín,34901,49.766164,12.910779,SRID=4326;POINT (49.766164 12.910779),CZ
5027,Svor,47151,50.7919,14.596917,SRID=4326;POINT (50.791900 14.596917),CZ
5028,Svrabov,39131,49.447575,14.626643,SRID=4326;POINT (49.447575 14.626643),CZ
5029,Svratka,59202,49.710763,16.032241,SRID=4326;POINT (49.710763 16.032241),CZ
5030,Svratouch,53942,49.72454,16.034289,SRID=4326;POINT (49.724540 16.034289),CZ
5031,Svrkyně,25264,50.171469,14.294955,SRID=4326;POINT (50.171469 14.294955),CZ
5032,Sychrov,46344,50.626916,15.088809,SRID=4326;POINT (50.626916 15.088809),CZ
5033,Sýkořice,27024,50.034689,13.931831,SRID=4326;POINT (50.034689 13.931831),CZ
5034,Synalov,67923,49.432831,16.413973,SRID=4326;POINT (49.432831 16.413973),CZ
5035,Synkov-Slemeno,51601,50.145372,16.219056,SRID=4326;POINT (50.145372 16.219056),CZ
5036,Syrov,39601,49.578021,15.177802,SRID=4326;POINT (49.578021 15.177802),CZ
5037,Syrovátka,50327,50.154859,15.662838,SRID=4326;POINT (50.154859 15.662838),CZ
5038,Syrovice,66467,49.079913,16.546565,SRID=4326;POINT (49.079913 16.546565),CZ
5039,Syrovín,69684,49.025923,17.264039,SRID=4326;POINT (49.025923 17.264039),CZ
5040,Syřenov,51251,50.498928,15.427821,SRID=4326;POINT (50.498928 15.427821),CZ
5041,Sytno,34901,49.739789,13.041764,SRID=4326;POINT (49.739789 13.041764),CZ
5042,Šabina,35601,50.135748,12.582432,SRID=4326;POINT (50.135748 12.582432),CZ
5043,Šafov,67106,48.866906,15.734756,SRID=4326;POINT (48.866906 15.734756),CZ
5044,Šakvice,69167,48.897558,16.714344,SRID=4326;POINT (48.897558 16.714344),CZ
5045,Šanov,67168,48.800986,16.378684,SRID=4326;POINT (48.800986 16.378684),CZ
5046,Šanov,27031,50.087735,13.631307,SRID=4326;POINT (50.087735 13.631307),CZ
5047,Šanov,76321,49.045564,17.898513,SRID=4326;POINT (49.045564 17.898513),CZ
5048,Šaplava,50353,50.315142,15.542057,SRID=4326;POINT (50.315142 15.542057),CZ
5049,Šaratice,68352,49.117564,16.803613,SRID=4326;POINT (49.117564 16.803613),CZ
5050,Šardice,69613,48.964128,17.028222,SRID=4326;POINT (48.964128 17.028222),CZ
5051,Šárovcova Lhota,50759,50.407609,15.562386,SRID=4326;POINT (50.407609 15.562386),CZ
5052,Šarovy,76351,49.148682,17.606966,SRID=4326;POINT (49.148682 17.606966),CZ
5053,Šatov,67122,48.793274,16.010024,SRID=4326;POINT (48.793274 16.010024),CZ
5054,Šebestěnice,28601,49.829543,15.365413,SRID=4326;POINT (49.829543 15.365413),CZ
5055,Šebetov,67935,49.548719,16.711728,SRID=4326;POINT (49.548719 16.711728),CZ
5056,Šebířov,39143,49.566211,14.82603,SRID=4326;POINT (49.566211 14.826030),CZ
5057,Šebkovice,67545,49.123204,15.813715,SRID=4326;POINT (49.123204 15.813715),CZ
5058,Šebrov-Kateřina,67922,49.328598,16.602548,SRID=4326;POINT (49.328598 16.602548),CZ
5059,Šedivec,56401,50.04929,16.535815,SRID=4326;POINT (50.049290 16.535815),CZ
5060,Šelešovice,76701,49.254875,17.36013,SRID=4326;POINT (49.254875 17.360130),CZ
5061,Šemnice,36272,50.237016,12.976213,SRID=4326;POINT (50.237016 12.976213),CZ
5062,Šenov,73934,49.793249,18.376174,SRID=4326;POINT (49.793249 18.376174),CZ
5063,Šenov u Nového Jičína,74242,49.604647,18.003387,SRID=4326;POINT (49.604647 18.003387),CZ
5064,Šerkovice,66601,49.38568,16.430063,SRID=4326;POINT (49.385680 16.430063),CZ
5065,Šestajovice,55101,50.341229,16.008082,SRID=4326;POINT (50.341229 16.008082),CZ
5066,Šestajovice,25092,50.10852,14.681812,SRID=4326;POINT (50.108520 14.681812),CZ
5067,Šetějovice,25768,49.645276,15.222583,SRID=4326;POINT (49.645276 15.222583),CZ
5068,Ševětín,37363,49.100158,14.572298,SRID=4326;POINT (49.100158 14.572298),CZ
5069,Šilheřovice,74715,49.926122,18.270274,SRID=4326;POINT (49.926122 18.270274),CZ
5070,Šimanov,58842,49.458171,15.450115,SRID=4326;POINT (49.458171 15.450115),CZ
5071,Šimonovice,46312,50.706477,15.052732,SRID=4326;POINT (50.706477 15.052732),CZ
5072,Šindelová,35801,50.318764,12.603439,SRID=4326;POINT (50.318764 12.603439),CZ
5073,Šípy,27034,50.014425,13.616563,SRID=4326;POINT (50.014425 13.616563),CZ
5074,Široká Niva,79201,50.063922,17.480203,SRID=4326;POINT (50.063922 17.480203),CZ
5075,Široký Důl,57201,49.746139,16.220866,SRID=4326;POINT (49.746139 16.220866),CZ
5076,Šišma,75111,49.464011,17.588144,SRID=4326;POINT (49.464011 17.588144),CZ
5077,Šitbořice,69176,49.014427,16.77986,SRID=4326;POINT (49.014427 16.779860),CZ
